id,question_text,option_a,option_b,option_c,option_d,correct_answer,difficulty
272,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
273,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
274,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
275,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
276,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
277,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
278,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
279,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
280,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
281,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
282,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
283,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
284,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
285,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
286,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
287,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
288,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
289,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
290,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
291,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
292,A score of 80 out of 100 is what percentage? (Topic: Percentage),60%,70%,80%,90%,80%,easy
293,A product costing $100 is sold for $120. What is the profit percentage? (Topic: Profit and Loss),10%,15%,20%,25%,20%,easy
294,"If a shopkeeper sells an item at 10% loss, what is the selling price of an item costing $50? (Topic: Profit and Loss)",$45,$40,$42,$48,$45,easy
295,What is the sum of the first 10 natural numbers? (Topic: Numbers),55,45,50,60,55,easy
296,What is the smallest prime number? (Topic: Numbers),1,2,3,5,2,easy
297,What is 20% of 150? (Topic: Percentage),30,20,15,25,30,easy
